id,split,secteur_grp,role,donnees_perso,donnees_sensibles,type_ia_norm,risk_level_aiact,origine,regle
TRN-HR-51,train,public_justice_securite,déployeur,oui,oui,biometrie,haut_risque,reference,
TRN-HR-52,train,education,déployeur,oui,non,ml_tabulaire,haut_risque,reference,
TRN-HR-53,train,transport_logistique,fournisseur,non,non,autre,haut_risque,reference,
TRN-HR-54,train,industrie_energie_infra,fournisseur,non,non,autre,haut_risque,reference,
FR-INT-04,train,education,déployeur,oui,oui,biometrie,interdit,reference,
FR-HR-A3-07,train,rh_emploi,déployeur,oui,non,scoring,haut_risque,reference,
FR-LIM-04,train,rh_emploi,déployeur,oui,non,generatif_llm,limite,reference,
FR-LIM-05,train,commerce_marketing,déployeur,oui,non,chatbot_dialogue,limite,reference,
FR-MIN-04,train,industrie_energie_infra,déployeur,non,non,vision,minimal,reference,
VAL-HR-01,val,rh_emploi,déployeur,oui,non,scoring,haut_risque,reference,
VAL-HR-02,val,public_justice_securite,déployeur,oui,non,scoring,haut_risque,reference,
VAL-HR-03,val,industrie_energie_infra,fournisseur,non,non,vision,haut_risque,reference,
VAL-HR-04,val,public_justice_securite,déployeur,oui,oui,scoring,haut_risque,reference,
VAL-HR-05,val,services,déployeur,oui,non,scoring,haut_risque,reference,
VAL-HR-06,val,finance_assurance,déployeur,oui,oui,scoring,haut_risque,reference,
VAL-HR-07,val,public_justice_securite,déployeur,oui,oui,nlp,haut_risque,reference,
VAL-HR-08,val,public_justice_securite,déployeur,oui,non,nlp,haut_risque,reference,
VAL-HR-09,val,sante,fournisseur,oui,oui,vision,haut_risque,reference,
VAL-HR-10,val,rh_emploi,déployeur,oui,non,nlp,haut_risque,reference,
VAL-HR-11,val,commerce_marketing,déployeur,oui,non,scoring,haut_risque,reference,
VAL-HR-12,val,public_justice_securite,déployeur,oui,oui,nlp,haut_risque,reference,
VAL-INT-01,val,commerce_marketing,déployeur,oui,oui,scoring,interdit,reference,
VAL-INT-02,val,services,déployeur,oui,non,scoring,interdit,reference,
VAL-INT-03,val,transport_logistique,déployeur,oui,non,scoring,interdit,reference,
VAL-INT-04,val,tech_media_plateforme,déployeur,oui,oui,vision,interdit,reference,
VAL-INT-05,val,rh_emploi,déployeur,oui,oui,biometrie,interdit,reference,
VAL-INT-06,val,commerce_marketing,déployeur,oui,oui,biometrie,interdit,reference,
VAL-LIM-01,val,public_justice_securite,déployeur,oui,non,chatbot_dialogue,limite,reference,
VAL-LIM-02,val,tech_media_plateforme,déployeur,non,non,generatif_llm,limite,reference,
VAL-LIM-03,val,tech_media_plateforme,déployeur,oui,non,generatif_llm,limite,reference,
VAL-LIM-04,val,commerce_marketing,déployeur,oui,non,chatbot_dialogue,limite,reference,
VAL-LIM-05,val,rh_emploi,déployeur,non,non,generatif_llm,limite,reference,
VAL-LIM-06,val,tech_media_plateforme,déployeur,oui,non,generatif_llm,limite,reference,
VAL-MIN-01,val,services,déployeur,non,non,ml_tabulaire,minimal,reference,
VAL-MIN-02,val,tech_media_plateforme,déployeur,non,non,ml_tabulaire,minimal,reference,
VAL-MIN-03,val,tech_media_plateforme,déployeur,non,non,ml_tabulaire,minimal,reference,
VAL-MIN-04,val,autre,déployeur,oui,non,ml_tabulaire,minimal,reference,
VAL-HC-01,val,finance_assurance,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
VAL-HC-02,val,finance_assurance,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
TST-HR-01,test,public_justice_securite,déployeur,oui,non,nlp,haut_risque,reference,
TST-HR-02,test,tech_media_plateforme,déployeur,oui,oui,biometrie,haut_risque,reference,
TST-HR-03,test,industrie_energie_infra,déployeur,non,non,ml_tabulaire,haut_risque,reference,
TST-HR-04,test,rh_emploi,déployeur,oui,non,nlp,haut_risque,reference,
TST-HR-05,test,services,déployeur,oui,non,scoring,haut_risque,reference,
TST-HR-06,test,industrie_energie_infra,déployeur,non,non,ml_tabulaire,haut_risque,reference,
TST-HR-07,test,public_justice_securite,déployeur,oui,non,nlp,haut_risque,reference,
TST-HR-08,test,commerce_marketing,déployeur,oui,oui,biometrie,haut_risque,reference,
TST-HR-09,test,industrie_energie_infra,déployeur,non,non,ml_tabulaire,haut_risque,reference,
TST-HR-10,test,tech_media_plateforme,déployeur,oui,non,nlp,haut_risque,reference,
TST-HR-11,test,public_justice_securite,déployeur,oui,oui,biometrie,haut_risque,reference,
TST-HR-12,test,tech_media_plateforme,déployeur,non,non,ml_tabulaire,haut_risque,reference,
TST-INT-01,test,finance_assurance,déployeur,oui,non,generatif_llm,interdit,reference,
TST-INT-02,test,commerce_marketing,déployeur,oui,non,scoring,interdit,reference,
TST-INT-03,test,tech_media_plateforme,déployeur,oui,non,generatif_llm,interdit,reference,
TST-INT-04,test,public_justice_securite,déployeur,oui,oui,vision,interdit,reference,
TST-INT-05,test,education,déployeur,oui,oui,biometrie,interdit,reference,
TST-INT-06,test,rh_emploi,déployeur,oui,oui,biometrie,interdit,reference,
TST-LIM-01,test,rh_emploi,déployeur,oui,non,chatbot_dialogue,limite,reference,
TST-LIM-02,test,services,déployeur,non,non,generatif_llm,limite,reference,
TST-LIM-03,test,education,déployeur,oui,non,chatbot_dialogue,limite,reference,
TST-LIM-04,test,commerce_marketing,déployeur,non,non,generatif_llm,limite,reference,
TST-LIM-05,test,industrie_energie_infra,déployeur,oui,non,chatbot_dialogue,limite,reference,
TST-LIM-06,test,services,déployeur,oui,non,generatif_llm,limite,reference,
TST-MIN-01,test,industrie_energie_infra,déployeur,non,non,ml_tabulaire,minimal,reference,
TST-MIN-02,test,services,déployeur,non,non,ml_tabulaire,minimal,reference,
TST-MIN-03,test,tech_media_plateforme,déployeur,non,non,ml_tabulaire,minimal,reference,
TST-MIN-04,test,tech_media_plateforme,déployeur,oui,non,ml_tabulaire,minimal,reference,
TST-HC-01,test,services,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
TST-HC-02,test,transport_logistique,déployeur,oui,non,aucun_pas_une_ia,hors_champ,reference,
TST-META-01,test,finance_assurance,déployeur,oui,non,generatif_llm,limite,reference,
GEN-HOR-001,train,finance_assurance,déployeur,non,oui,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x finance_assurance) -> hors_champ
GEN-HOR-002,train,finance_assurance,déployeur,oui,oui,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x finance_assurance) -> hors_champ
GEN-HOR-003,train,finance_assurance,fournisseur,non,non,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x finance_assurance) -> hors_champ
GEN-HOR-004,train,finance_assurance,fournisseur,non,oui,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x finance_assurance) -> hors_champ
GEN-HOR-005,train,finance_assurance,fournisseur,oui,non,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x finance_assurance) -> hors_champ
GEN-HOR-006,train,finance_assurance,fournisseur,oui,oui,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x finance_assurance) -> hors_champ
GEN-HOR-007,train,services,déployeur,non,oui,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x services) -> hors_champ
GEN-HOR-008,train,services,déployeur,oui,oui,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x services) -> hors_champ
GEN-HOR-009,train,services,fournisseur,non,non,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x services) -> hors_champ
GEN-HOR-010,train,services,fournisseur,non,oui,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x services) -> hors_champ
GEN-HOR-011,train,services,fournisseur,oui,non,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x services) -> hors_champ
GEN-HOR-012,train,services,fournisseur,oui,oui,aucun_pas_une_ia,hors_champ,genere,couple pur (aucun_pas_une_ia x services) -> hors_champ
GEN-INT-001,train,commerce_marketing,déployeur,non,non,biometrie,interdit,genere,couple pur (biometrie x commerce_marketing) -> interdit
GEN-INT-002,train,commerce_marketing,déployeur,non,oui,biometrie,interdit,genere,couple pur (biometrie x commerce_marketing) -> interdit
GEN-INT-003,train,commerce_marketing,déployeur,oui,non,biometrie,interdit,genere,couple pur (biometrie x commerce_marketing) -> interdit
GEN-INT-004,train,commerce_marketing,fournisseur,non,non,biometrie,interdit,genere,couple pur (biometrie x commerce_marketing) -> interdit
GEN-INT-005,train,commerce_marketing,fournisseur,non,oui,biometrie,interdit,genere,couple pur (biometrie x commerce_marketing) -> interdit
GEN-INT-006,train,commerce_marketing,fournisseur,oui,non,biometrie,interdit,genere,couple pur (biometrie x commerce_marketing) -> interdit
GEN-INT-007,train,commerce_marketing,fournisseur,oui,oui,biometrie,interdit,genere,couple pur (biometrie x commerce_marketing) -> interdit
GEN-INT-008,train,education,déployeur,non,non,biometrie,interdit,genere,couple pur (biometrie x education) -> interdit
GEN-INT-009,train,education,déployeur,non,oui,biometrie,interdit,genere,couple pur (biometrie x education) -> interdit
GEN-INT-010,train,education,déployeur,oui,non,biometrie,interdit,genere,couple pur (biometrie x education) -> interdit
GEN-INT-011,train,education,fournisseur,non,non,biometrie,interdit,genere,couple pur (biometrie x education) -> interdit
GEN-INT-012,train,education,fournisseur,non,oui,biometrie,interdit,genere,couple pur (biometrie x education) -> interdit
GEN-INT-013,train,education,fournisseur,oui,non,biometrie,interdit,genere,couple pur (biometrie x education) -> interdit
GEN-INT-014,train,education,fournisseur,oui,oui,biometrie,interdit,genere,couple pur (biometrie x education) -> interdit
GEN-INT-015,train,rh_emploi,déployeur,non,non,biometrie,interdit,genere,couple pur (biometrie x rh_emploi) -> interdit
GEN-INT-016,train,rh_emploi,déployeur,non,oui,biometrie,interdit,genere,couple pur (biometrie x rh_emploi) -> interdit
GEN-INT-017,train,rh_emploi,déployeur,oui,non,biometrie,interdit,genere,couple pur (biometrie x rh_emploi) -> interdit
GEN-INT-018,train,rh_emploi,fournisseur,non,non,biometrie,interdit,genere,couple pur (biometrie x rh_emploi) -> interdit
GEN-INT-019,train,rh_emploi,fournisseur,non,oui,biometrie,interdit,genere,couple pur (biometrie x rh_emploi) -> interdit
GEN-INT-020,train,rh_emploi,fournisseur,oui,non,biometrie,interdit,genere,couple pur (biometrie x rh_emploi) -> interdit
GEN-INT-021,train,rh_emploi,fournisseur,oui,oui,biometrie,interdit,genere,couple pur (biometrie x rh_emploi) -> interdit
GEN-HAU-001,train,transport_logistique,déployeur,non,non,biometrie,haut_risque,genere,couple pur (biometrie x transport_logistique) -> haut_risque
GEN-HAU-002,train,transport_logistique,déployeur,non,oui,biometrie,haut_risque,genere,couple pur (biometrie x transport_logistique) -> haut_risque
GEN-HAU-003,train,transport_logistique,déployeur,oui,non,biometrie,haut_risque,genere,couple pur (biometrie x transport_logistique) -> haut_risque
GEN-HAU-004,train,transport_logistique,fournisseur,non,non,biometrie,haut_risque,genere,couple pur (biometrie x transport_logistique) -> haut_risque
GEN-HAU-005,train,transport_logistique,fournisseur,non,oui,biometrie,haut_risque,genere,couple pur (biometrie x transport_logistique) -> haut_risque
GEN-HAU-006,train,transport_logistique,fournisseur,oui,non,biometrie,haut_risque,genere,couple pur (biometrie x transport_logistique) -> haut_risque
GEN-HAU-007,train,transport_logistique,fournisseur,oui,oui,biometrie,haut_risque,genere,couple pur (biometrie x transport_logistique) -> haut_risque
GEN-LIM-001,train,commerce_marketing,déployeur,non,non,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x commerce_marketing) -> limite
GEN-LIM-002,train,commerce_marketing,déployeur,non,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x commerce_marketing) -> limite
GEN-LIM-003,train,commerce_marketing,déployeur,oui,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x commerce_marketing) -> limite
GEN-LIM-004,train,commerce_marketing,fournisseur,non,non,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x commerce_marketing) -> limite
GEN-LIM-005,train,commerce_marketing,fournisseur,non,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x commerce_marketing) -> limite
GEN-LIM-006,train,commerce_marketing,fournisseur,oui,non,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x commerce_marketing) -> limite
GEN-LIM-007,train,commerce_marketing,fournisseur,oui,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x commerce_marketing) -> limite
GEN-LIM-008,train,finance_assurance,déployeur,non,non,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x finance_assurance) -> limite
GEN-LIM-009,train,finance_assurance,déployeur,non,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x finance_assurance) -> limite
GEN-LIM-010,train,finance_assurance,déployeur,oui,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x finance_assurance) -> limite
GEN-LIM-011,train,finance_assurance,fournisseur,non,non,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x finance_assurance) -> limite
GEN-LIM-012,train,finance_assurance,fournisseur,non,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x finance_assurance) -> limite
GEN-LIM-013,train,finance_assurance,fournisseur,oui,non,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x finance_assurance) -> limite
GEN-LIM-014,train,finance_assurance,fournisseur,oui,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x finance_assurance) -> limite
GEN-LIM-015,train,rh_emploi,déployeur,non,non,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x rh_emploi) -> limite
GEN-LIM-016,train,rh_emploi,déployeur,non,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x rh_emploi) -> limite
GEN-LIM-017,train,rh_emploi,déployeur,oui,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x rh_emploi) -> limite
GEN-LIM-018,train,rh_emploi,fournisseur,non,non,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x rh_emploi) -> limite
GEN-LIM-019,train,rh_emploi,fournisseur,non,oui,chatbot_dialogue,limite,genere,couple pur (chatbot_dialogue x rh_emploi) -> limite
