id;titre_cas;risk_level_aiact;Q3;Q10;Q55;risk_article;risk_justification
FR-MIN-02;Recommandation de produits;minimal;Un site e-commerce suggère des produits complémentaires (« vous aimerez aussi ») à partir de l'historique d'achats agrégé et anonymisé, sans profilage de données sensibles ni décision sur les personnes.;non;non;—;Recommandation sans profilage sensible ni décision ? risque minimal (vérifier RGPD si profilage).
FR-MIN-03;Optimisation des tournées de livraison;minimal;Un transporteur optimise ses tournées de livraison (itinéraires) à partir des adresses, contraintes horaires et du trafic. Aucune donnée personnelle sensible, aucune décision sur des personnes.;non;non;—;Optimisation logistique sans impact sur des personnes ? risque minimal.
JURY-RH-HR-01;Scoring de candidats à l'embauche;haut_risque;Une PME de services (120 salariés) trie et note automatiquement les candidats à l'embauche et classe les CV par score de pertinence, à partir des CV, lettres de motivation et de huit ans d'historique RH. Aucune relecture humaine n'est prévue avant l'envoi des résultats, le système ne renvoie qu'un score sans explication, et aucun audit de biais n'a été mené.;oui;non;Art.6 + Annexe III §4 (emploi);Emploi/RH (Annexe III §4) + décision automatisée = haut risque forcé (override).
JURY-CHAT-LIM-01;Chatbot SAV (commerce);limite;Un commerce de détail déploie un chatbot qui répond aux questions courantes des clients sur les horaires, les produits et le suivi de commande, à partir des messages clients et d'une base produits. Il ne prend aucune décision sur les personnes et n'indique pas toujours qu'il s'agit d'une IA.;oui;non;Art.50;"Pas de décision lourde ? transparence (Art.50) ; risque limité, zone grise (avis humain recommandé)."
JURY-FID-INT-01;Notation sociale déguisée (fidélité);interdit;Une enseigne de grande distribution attribue un « score citoyen/fidélité » aux clients d'après leur comportement (achats, activité en ligne, paiements, géolocalisation) et restreint l'accès à certains services aux profils mal notés.;oui;non;Art.5(1)(c);Score comportemental général conditionnant l'accès à des services = notation sociale interdite (Art.5(1)(c)), malgré l'habillage « fidélité ».
JURY-DB-NA-01;Base de données clients (pas d'IA);hors_champ;Une PME stocke et interroge ses fiches clients via une base de données relationnelle classique (requêtes SQL). Il n'y a ni apprentissage ni décision automatisée : ce n'est pas un système d'IA.;oui;non;Hors champ AI Act (pas un SIA) — RGPD applicable;Logiciel/base classique ? système d'IA ? hors champ AI Act (le RGPD reste applicable). Test anti faux positif.
FR-HR-A1-01;Freinage d'urgence automatique (véhicule);haut_risque;Un constructeur automobile équipe ses véhicules d'un système qui détecte les obstacles et déclenche automatiquement le freinage d'urgence. Une défaillance peut empêcher l'arrêt et provoquer un accident corporel.;non;non;Art.6(1) + Annexe I (composant de sécurité d'un véhicule);Composant de sécurité d'un produit réglementé : une panne met en danger la sécurité (Art.6(1), déf. Omnibus).
FR-HR-A1-02;Dosage automatique (dispositif médical);haut_risque;Un fabricant intègre à une pompe à perfusion un système qui calcule et ajuste automatiquement la dose de médicament administrée au patient. Une erreur peut entraîner un surdosage dangereux.;oui;oui;Art.6(1) + Annexe I (dispositif médical);Composant de sécurité d'un dispositif médical réglementé : défaillance = danger vital.
FR-HR-A1-03;Arrêt d'urgence de machine (usine);haut_risque;Une usine installe sur ses presses un système qui détecte la présence d'une main dans la zone dangereuse et déclenche l'arrêt immédiat. Si le système faille, l'opérateur peut être gravement blessé.;non;non;Art.6(1) + Annexe I (sécurité des machines);Fonction de sécurité d'une machine : une panne met en danger la santé.
FR-MIN-A1-01;Maintenance prédictive (contre-exemple Annexe I);minimal;Une usine utilise un système qui prédit l'usure des pièces pour planifier la maintenance et réduire les coûts. Une erreur retarde une réparation mais ne met personne en danger immédiat.;non;non;Hors Annexe I — pas un composant de sécurité (Art.6 modifié Omnibus);Optimisation/efficacité sans danger direct -> PAS composant de sécurité (déf. Omnibus). Reste minimal.
FR-HR-A3-01;Contrôle d'accès par reconnaissance faciale;haut_risque;Une entreprise contrôle l'accès à ses locaux : chaque employé badge à l'entrée et le système confirme par reconnaissance faciale qu'il est bien le titulaire du badge. Le système s'appuie sur des données biométriques.;oui;oui;Art.6 + Annexe III §1 (biométrie);Identification biométrique = haut risque Annexe III §1 (hors cas interdit temps réel espace public).
FR-HR-A3-02;Pilotage du réseau d'eau potable;haut_risque;Un opérateur d'eau utilise une IA pour piloter en temps réel la distribution et la pression du réseau d'eau potable d'une ville.;non;non;Art.6 + Annexe III §2 (infrastructures critiques);Gestion et exploitation d'une infrastructure critique = Annexe III §2.
FR-HR-A3-03;Tarification d'assurance-vie;haut_risque;Un assureur détermine automatiquement le tarif et l'acceptation d'un contrat d'assurance-vie à partir des données de santé déclarées par le client.;oui;oui;Art.6 + Annexe III §5 (assurance-vie et santé);Éligibilité et tarification d'assurance-vie/santé = Annexe III §5.
FR-HR-A3-04;Évaluation de demande de visa;haut_risque;Une administration utilise une IA pour évaluer le risque associé à une demande de visa à partir du dossier du demandeur.;oui;oui;Art.6 + Annexe III §7 (migration / asile);Évaluation de demandes dans le domaine migration/asile = Annexe III §7.
FR-HR-A3-05;Évaluation du risque de récidive;haut_risque;Un tribunal utilise un outil qui assiste le juge en évaluant le risque de récidive d'un prévenu à partir de son dossier judiciaire.;oui;oui;Art.6 + Annexe III §8 (administration de la justice);Aide à la décision judiciaire = Annexe III §8.
FR-HR-A3-06;Évaluation de preuves (police);haut_risque;Une police municipale utilise une IA pour évaluer la fiabilité d'éléments de preuve dans le cadre d'une enquête.;oui;oui;Art.6 + Annexe III §6 (répression pénale);Évaluation de preuves par les forces de l'ordre = Annexe III §6.
TRN-HR-01;Identification a posteriori de fraudeurs en gare;haut_risque;Un opérateur de transport identifie a posteriori, sur enregistrements vidéo, des voyageurs ayant fraudé, par comparaison à une base interne. Traitement en temps différé, à des fins de recouvrement commercial et non répressives.;oui;oui;Art.6(2) + Annexe III §1(a) (identification biométrique à distance);Identification biométrique à distance (1:N) = haut risque Annexe III §1(a). Distinct de la simple vérification 1:1 (exclue).
TRN-HR-02;Pilotage du réseau électrique régional;haut_risque;Un gestionnaire de réseau pilote en temps réel l'équilibrage de la distribution électrique d'une région. L'analyse repose sur les données réseau en temps réel.;non;non;Art.6(2) + Annexe III §2 (infrastructure critique);Composant de sécurité dans la gestion/exploitation d'une infrastructure critique = Annexe III §2.
TRN-HR-03;Présélection des candidats à un master;haut_risque;Une université présélectionne automatiquement les candidats à un master à partir des dossiers scolaires. Le système s'appuie sur les dossiers scolaires.;oui;non;Art.6(2) + Annexe III §3(a) (éducation - accès/admission);Système déterminant l'accès/l'admission à une formation = Annexe III §3(a).
TRN-HR-04;Notation automatique de copies d'examen;haut_risque;Un organisme note automatiquement les copies d'examen à partir du texte des réponses. Le système s'appuie sur les copies d'examen.;oui;non;Art.6(2) + Annexe III §3(b) (éducation - évaluation des résultats);Évaluation des résultats d'apprentissage = Annexe III §3(b).
TRN-HR-05;Surveillance d'un examen en ligne;haut_risque;Une plateforme surveille par IA le déroulé d'un examen en ligne pour détecter la triche. Il exploite le flux webcam de l'examen.;oui;non;Art.6(2) + Annexe III §3(d) (éducation - surveillance d'examens);Détection de comportements interdits pendant un examen = Annexe III §3(d).
TRN-HR-06;Attribution des tâches et évaluation des livreurs;haut_risque;Une plateforme attribue automatiquement les courses et évalue la performance des livreurs. L'analyse repose sur les données RH et d'activité.;oui;non;Art.6(2) + Annexe III §4(b) (emploi - gestion, tâches, évaluation);Décisions sur les conditions de travail, promotion, tâches, évaluation/monitoring = Annexe III §4(b).
TRN-HR-07;Éligibilité automatique à une aide sociale;haut_risque;Un organisme social évalue automatiquement l'éligibilité d'un demandeur à une prestation. Il exploite des données administratives.;oui;non;Art.6(2) + Annexe III §5(a) (accès aux prestations sociales);Éligibilité aux prestations et services publics essentiels = Annexe III §5(a).
TRN-HR-08;Score d'octroi d'un crédit immobilier;haut_risque;Une banque décide automatiquement de l'octroi d'un crédit immobilier selon la solvabilité. L'analyse repose sur les revenus et l'historique bancaire.;oui;non;Art.6(2) + Annexe III §5(b) (solvabilité / score de crédit);Évaluation de la solvabilité / score de crédit (hors détection de fraude) = Annexe III §5(b).
TRN-HR-09;Tarification d'une complémentaire santé;haut_risque;Un assureur fixe automatiquement le tarif d'une complémentaire santé selon les données déclarées. L'analyse repose sur les données de santé déclarées.;oui;oui;Art.6(2) + Annexe III §5(c) (assurance vie et santé);Évaluation des risques et tarification en assurance-vie et santé = Annexe III §5(c).
TRN-HR-10;Priorisation des appels au SAMU;haut_risque;Un centre de régulation priorise automatiquement les appels d'urgence selon la gravité. L'analyse repose sur les appels et symptômes décrits.;oui;oui;Art.6(2) + Annexe III §5(d) (secours d'urgence / triage);Dispatch et triage des secours d'urgence = Annexe III §5(d).
TRN-HR-11;Évaluation de la fiabilité d'indices;haut_risque;Une police évalue automatiquement la fiabilité d'éléments de preuve dans une enquête. Le système s'appuie sur les éléments d'enquête.;oui;non;Art.6(2) + Annexe III §6(c) (répression pénale - fiabilité des preuves);Évaluation de la fiabilité des éléments de preuve = Annexe III §6(c).
TRN-HR-12;Score de risque de récidive (pénitentiaire);haut_risque;L'administration pénitentiaire évalue le risque de récidive d'un détenu à partir de son dossier. L'analyse repose sur le dossier judiciaire.;oui;oui;Art.6(2) + Annexe III §6(d) (répression pénale - risque de récidive);Évaluation du risque de récidive d'un détenu par l'administration pénitentiaire à partir de son DOSSIER (Art.6(2) + Annexe III §6(d)). L'exclusion du §6(d) ('sans se fonder uniquement sur le profilage') NE s'applique PAS : le système s'appuie sur le dossier (des faits), pas uniquement sur du profilage. Haut risque. (À noter : un système fondé UNIQUEMENT sur le profilage basculerait en INTERDIT, Art.5(1)(d).)
TRN-HR-13;Évaluation du risque de victimisation;haut_risque;Un service évalue le risque qu'une personne devienne victime d'un délit. Le système s'appuie sur les signalements reçus.;oui;non;Art.6(2) + Annexe III §6(a) (répression pénale - risque de victimisation);Évaluation du risque qu'une personne soit victime d'une infraction = Annexe III §6(a).
TRN-HR-14;Instruction automatisée d'un titre de séjour;haut_risque;Une administration instruit automatiquement les demandes de titre de séjour. Il exploite le dossier de demande.;oui;oui;Art.6(2) + Annexe III §7(c) (migration - examen des demandes);Examen des demandes d'asile, de visa et de titre de séjour = Annexe III §7(c).
TRN-HR-15;Assistance du juge à la recherche de jurisprudence;haut_risque;Un outil assiste le juge en recherchant et interprétant la jurisprudence applicable à un litige. L'analyse repose sur les dossiers juridiques.;oui;non;Art.6(2) + Annexe III §8(a) (administration de la justice);Assistance à une autorité judiciaire pour rechercher/interpréter les faits et le droit = Annexe III §8(a).
TRN-HR-16;Arrêt d'urgence d'une presse industrielle;haut_risque;Un fabricant intègre à ses presses un système qui détecte une main dans la zone dangereuse et déclenche l'arrêt. Le système s'appuie sur les capteurs de la machine.;non;non;Art.6(1) + Annexe I point 1 (Machines 2006/42 ? 2023/1230);Composant de sécurité d'une machine : une défaillance met en danger la santé (Art.6(1), Annexe I point 1). Art.6(1) exige DEUX conditions CUMULATIVES : (a) composant de securite / produit de l'Annexe I ET (b) evaluation de conformite PAR UN TIERS -- ici remplie : machines relevant de l'annexe IV de la directive Machines (organisme notifié).
TRN-HR-17;Aide au diagnostic dermatologique;haut_risque;Un logiciel analyse des photos de lésions cutanées pour orienter le diagnostic du médecin. Le système s'appuie sur les images et signaux médicaux.;oui;oui;Art.6(1) + Annexe I point 11 (Dispositifs médicaux, MDR 2017/745);Dispositif médical au sens du règlement MDR (UE) 2017/745 : produit couvert par la législation d'harmonisation de l'Annexe I, point 11. En tant que composant de sécurité / produit soumis à une évaluation de conformité par un tiers (organisme notifié selon la classe du dispositif) ? haut risque au titre de l'Art. 6(1). (Correction : ce n'est PAS la directive Machines.)
TRN-HR-18;Analyse automatique de tests sanguins;haut_risque;Un automate de laboratoire interprète automatiquement les résultats d'analyses sanguines. Le système s'appuie sur les résultats d'analyses.;oui;oui;Art.6(1) + Annexe I point 12 (Dispositifs médicaux in vitro, IVDR 2017/746);Dispositif médical de diagnostic in vitro au sens du règlement IVDR (UE) 2017/746 : produit couvert par l'Annexe I, point 12. Composant de sécurité / produit soumis à évaluation de conformité par un tiers ? haut risque au titre de l'Art. 6(1). (Correction : ce n'est PAS la directive Machines.)
TRN-HR-19;Commande de sécurité d'ascenseur;haut_risque;Un système gère l'arrêt d'urgence et la sécurité de fonctionnement d'un ascenseur. L'analyse repose sur les capteurs de l'ascenseur.;non;non;Art.6(1) + Annexe I point 4 (Ascenseurs, 2014/33);Composant de sécurité d'un ascenseur = Art.6(1) + Annexe I point 4. Art.6(1) exige DEUX conditions CUMULATIVES : (a) composant de securite / produit de l'Annexe I ET (b) evaluation de conformite PAR UN TIERS -- ici remplie : ascenseurs (intervention obligatoire d'un organisme notifié).
TRN-HR-20;Détecteur de chute intégré à un EPI;haut_risque;Un EPI connecté détecte une chute et déclenche automatiquement une alerte de secours. Il exploite les capteurs de l'EPI.;oui;non;Art.6(1) + Annexe I point 9 (EPI, 2016/425);Composant de sécurité d'un équipement de protection individuelle = Art.6(1) + Annexe I point 9. Art.6(1) exige DEUX conditions CUMULATIVES : (a) composant de securite / produit de l'Annexe I ET (b) evaluation de conformite PAR UN TIERS -- ici remplie : EPI de catégorie III (organisme notifié).
TRN-HR-21;Coupure de sécurité d'une chaudière gaz;haut_risque;Un fabricant intègre une fonction coupant le gaz en cas de fuite détectée. Le système s'appuie sur les capteurs de gaz.;non;non;Art.6(1) + Annexe I point 10 (Appareils à gaz, 2016/426);Fonction de sécurité d'un appareil à gaz couvert par le règlement (UE) 2016/426 (Annexe I, point 10). Produit soumis à évaluation de conformité par un tiers ? haut risque au titre de l'Art. 6(1). (Correction : ce n'est PAS la directive Machines.)
TRN-HR-22;Régulation automatique du trafic routier;haut_risque;Une métropole régule automatiquement les feux et le trafic routier à partir des capteurs de circulation. Il exploite les données réseau en temps réel.;non;non;Art.6(2) + Annexe III §2 (infrastructure critique);Composant de sécurité dans la gestion/exploitation d'une infrastructure critique = Annexe III §2.
TRN-HR-23;Attribution des places en crèche;haut_risque;Une commune attribue automatiquement les places en crèche selon un dossier de demande (situation familiale, revenus, priorités). Le système s'appuie sur les données du dossier de demande.;oui;non;Art.6(2) + Annexe III §5(a) (accès aux services publics et prestations essentiels);Attribution d'une place en crèche par une collectivité = accès à un service public / une prestation essentielle ? Annexe III §5(a) (et non §3(a) éducation : une crèche n'est pas un établissement d'enseignement). Haut risque (Art.6(2)).
TRN-HR-24;Évaluation continue des acquis en ligne;haut_risque;Une plateforme évalue en continu les acquis d'apprentissage des apprenants. L'analyse repose sur les copies d'examen.;oui;non;Art.6(2) + Annexe III §3(b) (éducation - évaluation des résultats);Évaluation des résultats d'apprentissage = Annexe III §3(b).
TRN-HR-25;Détection de fraude aux prestations sociales;haut_risque;Un organisme cible automatiquement les dossiers de prestations à contrôler. Le système s'appuie sur des données administratives.;oui;non;Art.6(2) + Annexe III §5(a) (accès aux prestations sociales);Éligibilité aux prestations et services publics essentiels = Annexe III §5(a).
TRN-HR-26;Décision automatisée de prêt professionnel;minimal;Un établissement accorde ou refuse automatiquement un prêt à une entreprise (personne morale), à partir de ses comptes et de son historique bancaire.;oui;non;Hors Annexe III §5(b) : ce point ne vise que l'évaluation de la solvabilité des PERSONNES PHYSIQUES. Un prêt à une entreprise = personne morale ? hors §5(b), aucun autre usage listé ? risque minimal (a contrario).;Évaluation de solvabilité d'une PERSONNE MORALE (entreprise). L'Annexe III §5(b) est limité aux personnes physiques ? le cas en sort ? minimal. (Un prêt au même objet mais à un entrepreneur individuel = personne physique basculerait, lui, en haut risque §5(b).)
TRN-HR-27;Acceptation d'un contrat d'assurance-vie;haut_risque;Un assureur accepte ou refuse automatiquement un contrat d'assurance-vie. Il exploite les données de santé déclarées.;oui;oui;Art.6(2) + Annexe III §5(c) (assurance vie et santé);Évaluation des risques et tarification en assurance-vie et santé = Annexe III §5(c).
TRN-HR-28;Triage des urgences hospitalières;haut_risque;Un hôpital trie automatiquement les patients aux urgences selon un score de gravité. Il exploite les appels et symptômes décrits.;oui;oui;Art.6(2) + Annexe III §5(d) (secours d'urgence / triage);Dispatch et triage des secours d'urgence = Annexe III §5(d).
TRN-HR-29;Évaluation du risque à la frontière;haut_risque;Une autorité évalue le risque sécuritaire d'un voyageur à la frontière. L'analyse repose sur le dossier au poste frontière.;oui;oui;Art.6(2) + Annexe III §7(b) (migration - évaluation des risques);Évaluation des risques (sécurité, migration irrégulière, santé) posés par une personne = Annexe III §7(b).
TRN-HR-30;Sécurité d'un robot collaboratif;haut_risque;Un système arrête un cobot dès qu'il détecte un opérateur trop proche. L'analyse repose sur les capteurs de la machine.;non;non;Art.6(1) + Annexe I point 1 (Machines 2006/42 ? 2023/1230);Composant de sécurité d'une machine : une défaillance met en danger la santé (Art.6(1), Annexe I point 1). Art.6(1) exige DEUX conditions CUMULATIVES : (a) composant de securite / produit de l'Annexe I ET (b) evaluation de conformite PAR UN TIERS -- ici remplie : machines relevant de l'annexe IV de la directive Machines (organisme notifié).
TRN-HR-31;Calcul de dose d'un pousse-seringue;haut_risque;Un système calcule et ajuste la dose délivrée par un pousse-seringue au patient. L'analyse repose sur les images et signaux médicaux.;oui;oui;Art.6(1) + Annexe I point 11 (Dispositifs médicaux, MDR 2017/745);Dispositif médical au sens du règlement MDR (UE) 2017/745 : produit couvert par la législation d'harmonisation de l'Annexe I, point 11. En tant que composant de sécurité / produit soumis à une évaluation de conformité par un tiers (organisme notifié selon la classe du dispositif) ? haut risque au titre de l'Art. 6(1). (Correction : ce n'est PAS la directive Machines.)
TRN-HR-32;Freinage d'urgence automatique;haut_risque;Un constructeur équipe ses véhicules d'un système qui détecte un obstacle et déclenche le freinage. L'analyse repose sur les capteurs du véhicule.;non;non;Art.6(1) + Annexe I point 18 (Véhicules à moteur, 2018/858) — régime Art.2(2);"Système de sécurité d'un véhicule couvert par le règlement (UE) 2018/858 (Annexe I, point 18, Section B). Relève de l'Art. 6(1) ; l'Art. 2(2) de l'AI Act prévoit un régime allégé pour les produits de la Section B (conformité via le droit sectoriel automobile). ? haut risque. (Correction : ce n'est PAS la directive Machines ; 'Art.2(2)' = de l'AI Act.)"
TRN-HR-33;Commande de sécurité d'un monte-charge;haut_risque;Un fabricant intègre au monte-charge un système qui bloque le mouvement si les portes ne sont pas verrouillées. L'analyse repose sur les capteurs du monte-charge.;non;non;Art.6(1) + Annexe I point 4 (Ascenseurs, 2014/33);"Composant de sécurité d'un ascenseur (Annexe I point 4) ; les ascenseurs relèvent obligatoirement d'un organisme notifié -> Art.6(1)(b) rempli. Art.6(1) exige DEUX conditions CUMULATIVES : (a) composant de securite / produit de l'Annexe I ET (b) evaluation de conformite PAR UN TIERS -- ici remplie : ascenseurs (intervention obligatoire d'un organisme notifié)."
TRN-HR-34;Gestion de la pression du réseau de gaz;haut_risque;Un opérateur ajuste automatiquement la pression du réseau de gaz urbain selon la demande. Le système s'appuie sur les données réseau en temps réel.;non;non;Art.6(2) + Annexe III §2 (infrastructure critique);Composant de sécurité dans la gestion/exploitation d'une infrastructure critique = Annexe III §2.
TRN-HR-35;Orientation des élèves vers des filières;haut_risque;Un lycée oriente automatiquement les élèves vers des filières à partir de leurs résultats. Il exploite les dossiers scolaires.;oui;non;Art.6(2) + Annexe III §3(a) (éducation - accès/admission);Orientation automatique d'élèves vers des filières à partir de leurs résultats. L'Annexe III §3(a) vise à 'déterminer l'accès/l'admission OU AFFECTER des personnes' à des formations : orienter un élève vers une filière = l'affecter à un cursus ? §3(a). (Le niveau n'est de toute façon pas en jeu : orientation sur résultats relève de §3(a)/§3(b), tous deux haut risque.)
TRN-HR-36;Score de crédit pour un achat en plusieurs fois;haut_risque;Une fintech évalue la solvabilité pour accorder un paiement fractionné. Le système s'appuie sur les revenus et l'historique bancaire.;oui;non;Art.6(2) + Annexe III §5(b) (solvabilité / score de crédit);Évaluation de la solvabilité / score de crédit (hors détection de fraude) = Annexe III §5(b).
TRN-HR-37;Évaluation du risque santé pour une mutuelle;haut_risque;Une mutuelle évalue le risque santé d'un adhérent pour ajuster sa cotisation. Le système s'appuie sur les données de santé déclarées.;oui;oui;Art.6(2) + Annexe III §5(c) (assurance vie et santé);Évaluation des risques et tarification en assurance-vie et santé = Annexe III §5(c).
TRN-HR-38;Analyse de la crédibilité de témoignages;haut_risque;Un outil évalue la fiabilité de témoignages recueillis dans une enquête. L'analyse repose sur les éléments d'enquête.;oui;non;Art.6(2) + Annexe III §6(c) (fiabilité des preuves);Évaluation de la fiabilité des éléments de preuve = Annexe III §6(c).
TRN-HR-39;Sécurité d'une scie automatisée;haut_risque;Une menuiserie équipe sa scie d'un système qui bloque la lame en cas de détection de contact. Il exploite les capteurs de la machine.;non;non;Art.6(1) + Annexe I point 1 (Machines 2006/42 ? 2023/1230);Composant de sécurité d'une machine : une scie relève de la directive Machines 2006/42 et figure à son Annexe IV (contrôle par organisme notifié obligatoire). La condition d'évaluation par un tiers (Art.6(1)(b)) est donc remplie ? haut risque (Art.6(1)).
TRN-HR-40;Détection d'arythmie sur électrocardiographe;haut_risque;Un dispositif détecte automatiquement les arythmies sur le signal ECG. Il exploite les images et signaux médicaux.;oui;oui;Art.6(1) + Annexe I point 11 (Dispositifs médicaux, MDR 2017/745);Dispositif médical au sens du règlement MDR (UE) 2017/745 : produit couvert par la législation d'harmonisation de l'Annexe I, point 11. En tant que composant de sécurité / produit soumis à une évaluation de conformité par un tiers (organisme notifié selon la classe du dispositif) ? haut risque au titre de l'Art. 6(1). (Correction : ce n'est PAS la directive Machines.)
TRN-HR-41;Détection de somnolence du conducteur;haut_risque;Un système détecte la somnolence du conducteur et déclenche une alerte de sécurité. Il exploite les capteurs du véhicule.;oui;non;Art.6(1) + Annexe I point 18 (Véhicules à moteur, 2018/858) — régime Art.2(2);"Système de sécurité d'un véhicule couvert par le règlement (UE) 2018/858 (Annexe I, point 18, Section B). Relève de l'Art. 6(1) ; l'Art. 2(2) de l'AI Act prévoit un régime allégé pour les produits de la Section B (conformité via le droit sectoriel automobile). ? haut risque. (Correction : ce n'est PAS la directive Machines ; 'Art.2(2)' = de l'AI Act.)"
TRN-HR-42;Régulation de sécurité d'une chaudière;haut_risque;Un système régule la pression d'une chaudière industrielle et déclenche l'arrêt en cas de dépassement. Le système s'appuie sur les capteurs de pression.;non;non;Art.6(1) + Annexe I point 7 (Équipements sous pression, 2014/68);Composant de sécurité d'un équipement sous pression = Art.6(1) + Annexe I point 7. Art.6(1) exige DEUX conditions CUMULATIVES : (a) composant de securite / produit de l'Annexe I ET (b) evaluation de conformite PAR UN TIERS -- ici remplie : équipements sous pression de catégorie II et plus (organisme notifié).
TRN-HR-43;Aide à la décision de promotion;haut_risque;Un groupe s'appuie sur un score IA pour orienter les décisions de promotion interne. Il exploite les données RH et d'activité.;oui;non;Art.6(2) + Annexe III §4(b) (emploi - gestion, tâches, évaluation);Décisions sur les conditions de travail, promotion, tâches, évaluation/monitoring = Annexe III §4(b).
TRN-HR-44;Attribution automatique d'une bourse d'études;haut_risque;Un organisme attribue automatiquement des bourses aux demandeurs selon des critères appliqués au dossier de demande (revenus, situation familiale, résultats). Le système s'appuie sur les données du dossier de demande de bourse.;oui;non;Art.6(2) + Annexe III §5(a) (accès aux prestations);Éligibilité aux prestations et services publics essentiels = Annexe III §5(a).
TRN-HR-45;Décision de découvert autorisé;haut_risque;Une banque décide automatiquement du découvert autorisé selon la solvabilité. Il exploite les données financières.;oui;non;Art.6(2) + Annexe III §5(b) (solvabilité / crédit);Évaluation de la solvabilité = Annexe III §5(b).
TRN-HR-46;Sécurité d'un pont roulant automatisé;haut_risque;Un système arrête un pont roulant dès qu'une personne entre dans la zone de manœuvre. Il exploite les capteurs de la machine.;non;non;Art.6(1) + Annexe I point 1 (Machines 2006/42 ? 2023/1230);Composant de sécurité d'une machine = Art.6(1) + Annexe I point 1. Art.6(1) exige DEUX conditions CUMULATIVES : (a) composant de securite / produit de l'Annexe I ET (b) evaluation de conformite PAR UN TIERS -- ici remplie : machines relevant de l'annexe IV de la directive Machines (organisme notifié).
TRN-HR-47;Tri automatique des CV pour un poste industriel;haut_risque;Une entreprise trie et classe automatiquement les CV reçus pour un poste en production. Le système s'appuie sur les CV et lettres de motivation.;oui;non;Art.6(2) + Annexe III §4(a) (emploi - recrutement/sélection);Recrutement/sélection : diffusion d'offres, filtrage des candidatures, évaluation des candidats = Annexe III §4(a).
